Business Date,Sedol,ISIN,FIGI,Ticker,BBGID,Name,Offer Rate,Bid Rate,Last Rate,Short Momentum,Short Interest,ShortInterestNotional,ShortInterestPct,S3Float,S3SIPctFloat,IndicativeAvailability,S3Utilization,DaysToCover10Day,DaysToCover30Day,DaysToCover90Day,Crowded Score,Squeeze Score,Original SI
3/18/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.94,0.57,0.84,0,6757785.4,547988818.09,0.0722,100407155.4,0.0673,6.22E+06,52.0931,2.24970725911504,2.07080724823939,1.65202993696516,35,15,4361496
3/19/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.94,0.56,0.3,0,6982125.3,519400301.07,0.0746,100631495.3,0.0694,6.49E+06,51.8933,2.43608966128424,2.08043012463584,1.7055456597793,35,5,4290267
3/22/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.94,0.57,0.7,0,7156188.4,553674296.51,0.0764,100805558.4,0.071,6.43E+06,52.6658,2.70441015857947,2.10121209967986,1.75653926692189,40,20,4272721
3/23/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.94,0.6,0.67,0,7291313.2,597814769.27,0.0779,100940683.2,0.0722,6.20E+06,54.0792,2.93444889384359,2.15723473972132,1.80779602411051,40,30,4406193
3/24/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.94,0.55,0.79,0,7345483.7,579338299.42,0.0784,100994853.7,0.0727,6.18E+06,54.3958,3.32400698153883,2.22739313007422,1.85056755399043,40,20,4400965
3/25/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.94,0.62,0.77,0,7417610.7,538741065.14,0.0792,101066980.7,0.0734,6.53E+06,53.6758,3.4464751692546,2.30762049379075,1.89222735368651,40,0,6370012
3/26/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.94,0.56,0.75,0,7538620.2,524386421.11,0.0805,101187990.2,0.0745,6.63E+06,53.2484,3.50017791958517,2.34790929306897,1.93967939001613,40,0,6338354
3/29/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.82,0.53,0.69,-2.55,7631886.9,532095154.67,0.0815,101281256.9,0.0754,6.27E+06,54.953,3.68064833806522,2.39715042059117,1.98787019161143,40,10,6455433
3/30/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.82,0.53,0.68,0,7741751,541845152.49,0.0827,101391121,0.0764,6.32E+06,55.0844,3.71613561307169,2.50832143446127,2.03539765540519,40,0,6456203
3/31/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.94,0.61,0.3,2.93,7889044.3,523753651.08,0.0842,101538414.3,0.0777,5.49E+06,58.9715,3.67304893941249,2.65311016482888,2.0901818175074,40,0,6734994
4/1/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.94,0.56,0.3,0,7881270,557363414.4,0.0842,101530640,0.0776,5.66E+06,58.2327,3.52637419181637,2.66515733053784,2.10337882180126,40,0,6805067
4/5/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.94,0.6,0.7,0,8013156.6,572540039.07,0.0856,101662526.6,0.0788,5.15E+06,60.9039,4.0518332252933,2.76996200321064,2.16044592803129,40,30,6977276
4/6/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.94,0.6,0.69,0,8097388.9,561877815.77,0.0865,101746758.9,0.0796,5.06E+06,61.5817,4.56290150984946,2.85900823271498,2.21033714962365,40,30,7004820
4/7/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.94,0.56,0.62,0,8220587.2,600102865.6,0.0878,101861131.2,0.0807,5.21E+06,61.2776,4.69823548708991,2.93870317357272,2.26297939321798,40,40,6905651
4/8/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.82,0.52,0.6,-2.55,8295702.2,593142707.3,0.0886,101936246.2,0.0814,5.44E+06,60.4485,4.66106984832437,3.06945831144132,2.30961674187018,42.5,42.5,6816011
